#{"t_start": 1734332524.8439288, "env_id": "CartPole-v1"}
r,l,t
287.0,287,132.543288
88.0,88,132.653201
41.0,41,132.715932
90.0,90,133.801384
317.0,317,135.200958
51.0,51,135.264158
30.0,30,135.295618
36.0,36,135.358237
52.0,52,135.421373
500.0,500,138.035609
259.0,259,139.339099
182.0,182,140.570395
291.0,291,141.904999
164.0,164,143.101924
40.0,40,143.149403
14.0,14,143.165364
187.0,187,144.376154
125.0,125,144.533764
192.0,192,145.727194
144.0,144,146.86167
17.0,17,146.877363
31.0,31,146.924926
22.0,22,146.95668
33.0,33,146.987645
22.0,22,147.018901
24.0,24,147.051219
25.0,25,147.082342
11.0,11,147.098187
26.0,26,147.13045
98.0,98,148.261236
285.0,285,149.59683
299.0,299,150.983311
400.0,400,153.486162
83.0,83,153.580801
87.0,87,153.67646
74.0,74,154.777124
293.0,293,156.115236
197.0,197,157.343343
235.0,235,157.626935
136.0,136,158.775656
138.0,138,159.907953
128.0,128,160.064505
206.0,206,161.322042
125.0,125,161.462976
127.0,127,162.564674
19.0,19,162.581209
133.0,133,162.737878
14.0,14,162.769157
40.0,40,163.773917
86.0,86,163.883676
260.0,260,165.203691
92.0,92,165.314022
100.0,100,166.41168
96.0,96,166.521563
22.0,22,166.553069
97.0,97,167.621553
11.0,11,167.637185
94.0,94,167.746933
93.0,93,167.856791
101.0,101,168.958214
215.0,215,170.200063
25.0,25,170.231454
22.0,22,170.263062
16.0,16,170.294715
24.0,24,170.326228
26.0,26,170.357825
26.0,26,170.389245
27.0,27,170.420872
86.0,86,171.504287
94.0,94,171.630521
95.0,95,171.741159
96.0,96,172.778818
98.0,98,172.904933
97.0,97,173.015324
88.0,88,174.052857
86.0,86,174.163577
90.0,90,174.258285
104.0,104,175.374217
105.0,105,175.500755
103.0,103,176.600707
104.0,104,176.726557
106.0,106,176.853226
114.0,114,177.953188
115.0,115,178.094243
82.0,82,179.162751
76.0,76,179.24132
76.0,76,179.335826
87.0,87,180.437215
104.0,104,180.547602
113.0,113,180.70486
79.0,79,181.743391
68.0,68,181.837125
77.0,77,181.930861
56.0,56,182.968257
16.0,16,182.983892
43.0,43,183.031064
20.0,20,183.064966
23.0,23,183.094346
22.0,22,183.126002
20.0,20,183.141827
17.0,17,183.157456
41.0,41,183.220711
21.0,21,183.236481
72.0,72,184.289691
96.0,96,184.399679
95.0,95,184.540927
55.0,55,185.579063
94.0,94,185.689081
93.0,93,185.798916
106.0,106,186.91389
105.0,105,187.039274
94.0,94,188.154304
121.0,121,188.311961
115.0,115,189.447247
92.0,92,189.557347
89.0,89,189.667049
69.0,69,190.750595
